Adrenal cortical adenocarcinoma                                                          ,Adrenal cortical adenocarcinoma                                                                   ,[]
Adrenal cortical adenoma                                                                 ,Adrenal cortical adenoma                                                                          ,[]
Adrenal insufficiency                                                                    ,Adrenal insufficiency                                                                             ,"['Addisons', 'corticoadrenal insuffic', 'hypoadrenalism']"
Adrenalectomy                                                                            ,Adrenalectomy                                                                                     ,[]
Adrenogenital syndrome                                                                   ,Adrenogenital syndrome                                                                            ,[]
Adult abuse                                                                              ,Adult abuse                                                                                       ,[]
Afibrinogenemia                                                                          ,Afibrinogenemia                                                                                   ,[]
Agoraphobia with panic attacks                                                           ,Agoraphobia with panic attacks                                                                    ,[]
Agoraphobia without panic attack                                                         ,Agoraphobia without panic attack                                                                  ,[]
Akathisia                                                                                ,Restless leg syndrome                                                                             ,"['acathisia', 'akithisia', 'cathisophobia']"
Albinism                                                                                 ,Skin pigment - absent or very little (albinism)                                                   ,[]
Alcohol abuse - continuous                                                               ,Alcohol abuse - continuous                                                                        ,['Alcohol Alcoho Etoh Abuse Continuous']
Alkalosis - metabolic                                                                    ,Alkalosis - metabolic                                                                             ,['alkalosis metabolic']
Alkalosis - respiratory                                                                  ,Alkalosis - respiratory                                                                           ,['respiratory alkalosis']
Alkaptonuria                                                                             ,Alkaptonuria                                                                                      ,[]
Allergic alveolitis                                                                      ,Allergic alveolitis                                                                               ,['alveolitis allergic']
Alopecia                                                                                 ,Hair loss (alopecia)                                                                              ,"['balding', 'baldness', 'hair loss']"
Alopecia areata                                                                          ,Alopecia areata                                                                                   ,[]
Alopecia mucinosa                                                                        ,Alopecia mucinosa                                                                                 ,[]
Alpha thalassemia                                                                        ,Alpha thalassemia                                                                                 ,['alpha thalassemia and trait']
Alport syndrome                                                                          ,Alport syndrome                                                                                   ,[]
Alveolar osteitis                                                                        ,Alveolar osteitis                                                                                 ,['dry socket']
Alveolar proteinosis                                                                     ,Pulmonary alveolar proteinosis (PAP)                                                              ,[]
Alveolar soft part sarcoma                                                               ,Alveolar soft part sarcoma                                                                        ,[]
Alzheimer's disease                                                                      ,Alzheimer's disease                                                                               ,['senile dementia']
Amaurosis fugax                                                                          ,Temporary blindness - one eye (amaurosis fugax)                                                   ,[]
Amblyopia                                                                                ,Lazy eye (amblyopia)                                                                              ,['lazy eye']
Ameloblastoma                                                                            ,Ameloblastoma                                                                                     ,['adamantinoma']
Amenorrhea                                                                               ,Absence of menstrual periods (amenorrhea)                                                         ,"['absence of menses period menstruation', 'missed periods']"
Amnesia                                                                                  ,Amnesia                                                                                           ,['memory loss']
Amniocentesis                                                                            ,Amniocentesis                                                                                     ,[]
Amphetamine abuse                                                                        ,Amphetamine abuse                                                                                 ,[]
Amylase - high                                                                           ,Amylase - high                                                                                    ,['hyperamylasemia']
Amyloid                                                                                  ,Amyloidosis                                                                                       ,['amyloid primary']
Amyotrophic lateral sclerosis                                                            ,Lou Gehrig's disease (amyotrophic lateral sclerosis; ALS)                                         ,"['ALS', ""Charcot's disease"", 'primary lateral sclerosis', 'progressive motor neuron disease']"
Anal fissure                                                                             ,Anal fissure                                                                                      ,['fissure of anus']
Anal fistula                                                                             ,Anal fistula                                                                                      ,['fistula anus']
Anal/rectal surgery                                                                      ,Anal/rectal surgery                                                                               ,[]
Anaphylaxis                                                                              ,Anaphylaxis                                                                                       ,[]
Anasarca                                                                                 ,Massive edema (anasarca)                                                                          ,['massive edema']
Androblastoma                                                                            ,Androblastoma                                                                                     ,['arrhenoblastoma']
Androgen deficiency                                                                      ,Androgen deficiency                                                                               ,[]
Anemia                                                                                   ,Red blood cell count - low (anemia)                                                               ,[]
Anemia - aplastic                                                                        ,Anemia - aplastic                                                                                 ,['anemia aplastic']
Anemia - autoimmune hemolytic                                                            ,Anemia - autoimmune hemolytic                                                                     ,"['hemolytic anemia warm AB', 'warm antibody anemia']"
Anemia - dilutional                                                                      ,Anemia - dilutional                                                                               ,['dilutional anemia']
Anemia - folate deficiency                                                               ,Anemia - folate deficiency                                                                        ,['folate deficiency anemia']
Anemia - from chronic disease                                                            ,Anemia - from chronic disease                                                                     ,['chronic simple anemia']
Anemia - hemolytic                                                                       ,Anemia - hemolytic                                                                                ,['anemia hemolytic']
Anemia - iron deficiency                                                                 ,Anemia - iron deficiency                                                                          ,"['Anemia Fe Deficiency', 'Fe def anemia', 'Fe deficiency anemia', 'anemia iron deficiency']"
Anemia - macrocytic                                                                      ,Anemia - macrocytic                                                                               ,['anemia macrocytic']
Anemia - megaloblastic                                                                   ,Anemia - megaloblastic                                                                            ,['anemia megaloblastic']
Anemia - microcytic                                                                      ,Anemia - microcytic                                                                               ,['anemia microcytic']
Anemia - myelophthisic                                                                   ,Anemia - myelophthisic                                                                            ,"['anemia myelophthisic', 'leukoerythroblastic anemia']"
Anemia - normocytic                                                                      ,Anemia - normocytic                                                                               ,['anemia normocytic']
Anemia - pernicious                                                                      ,Anemia - pernicious                                                                               ,['anemia pernicious']
Anemia - refractory                                                                      ,Anemia - refractory                                                                               ,"['anemia refractory', 'aregenerative anemia']"
Anemia - sideroblastic                                                                   ,Anemia - sideroblastic                                                                            ,['anemia sideroblastic']
Anemia - vitamin B6 deficiency                                                           ,Anemia - vitamin B6 deficiency                                                                    ,['B6 responsive anemia']
Anetoderma                                                                               ,Anetoderma                                                                                        ,[]
Aneurysm - dissecting                                                                    ,Aneurysm - dissecting                                                                             ,['aneurysm dissect']
Angina - Ludwig's                                                                        ,Angina - Ludwig's                                                                                 ,[]
Angina - recurrent                                                                       ,Angina - recurrent                                                                                ,[]
Angina - unstable                                                                        ,Angina - unstable                                                                                 ,"['ACS', 'UA']"
Angina pectoris                                                                          ,Angina pectoris                                                                                   ,"['cardiac pain', 'coronary chest pain', 'ischemic heart pain']"
Angiodysplasia                                                                           ,Angiodysplasia                                                                                    ,[]
Angioedema                                                                               ,Angioedema                                                                                        ,"['edema angioneurotic', 'welts']"
Angiofibroma - juvenile                                                                  ,Angiofibroma - juvenile                                                                           ,['juvenile angiofibroma']
Angiography                                                                              ,Angiography                                                                                       ,[]
Angiokeratoma                                                                            ,Angiokeratoma                                                                                     ,[]
Angiolipoma                                                                              ,Angiolipoma                                                                                       ,[]
Angiomyolipoma                                                                           ,Angiomyolipoma                                                                                    ,[]
Animal bite                                                                              ,Animal bite                                                                                       ,['bite (animal)']
Aniseikonia                                                                              ,Aniseikonia                                                                                       ,[]
Anisocoria                                                                               ,Anisocoria                                                                                        ,[]
Anisometropia                                                                            ,Anisometropia                                                                                     ,[]
Ankle dislocation                                                                        ,Ankle dislocation                                                                                 ,['dislocated ankle']
Ankle fracture                                                                           ,Ankle fracture                                                                                    ,"['Ankle Fx', 'Fx ankle', 'fractured ankle']"
Ankle sprain                                                                             ,Ankle sprain                                                                                      ,['sprained ankle']
Ankle/foot pain                                                                          ,Ankle/foot pain                                                                                   ,['pain ankle/foot']
Ankylosing spondylosis                                                                   ,Ankylosing spondylosis                                                                            ,[]
Anorexia                                                                                 ,Appetite loss                                                                                     ,"['appetite loss', 'asitia', 'no appetite']"
Anorexia nervosa                                                                         ,Anorexia nervosa                                                                                  ,[]
Anosmia                                                                                  ,Loss of smell (anosmia)                                                                           ,"['absent smell', 'smell loss']"
Anovulation                                                                              ,Anovulation                                                                                       ,[]
Anterior chamber reformation                                                             ,Anterior chamber reformation                                                                      ,['A/C reformation']
Anterior meniscus tear                                                                   ,Anterior meniscus tear                                                                            ,['meniscus tear anterior']
Anthracosis                                                                              ,Black lung disease (anthracosis)                                                                  ,"['CWP', 'anthracosilicosis', 'black lung disease', ""coal workers' pneumoconiosis""]"
Antisocial personality disorder                                                          ,Antisocial personality disorder                                                                   ,[]
Antrum deformed                                                                          ,Antrum deformed                                                                                   ,['deformed antrum']
Anxiety                                                                                  ,Anxiety                                                                                           ,"['anxious', 'nervousness']"
Aortic aneurysm                                                                          ,Aortic aneurysm                                                                                   ,['aneurysm aortic']
Aortic aneurysm repair                                                                   ,Aortic aneurysm repair                                                                            ,[]
Aortic coarctation                                                                       ,Aortic coarctation                                                                                ,[]
Aortic dissection                                                                        ,Aortic dissection                                                                                 ,['dissecting aortic aneurysm']
Aortic insufficiency                                                                     ,Aortic insufficiency                                                                              ,"['AI', 'AR', 'aortic regurgitation']"
Aortic root dilated                                                                      ,Aortic root dilated                                                                               ,['dilated aortic root']
Aortic stenosis                                                                          ,Aortic stenosis                                                                                   ,['AS']
Aortic valve - bicuspid                                                                  ,Aortic valve - bicuspid                                                                           ,"['aortic valve bicusped', 'aortic valve bicuspid']"
Aortic valve abnormality                                                                 ,Aortic valve abnormality                                                                          ,[]
Aortic valve replacement                                                                 ,Aortic valve replacement                                                                          ,['aortic AVR replacement']
Aphakia                                                                                  ,Aphakia                                                                                           ,[]
Aphonia                                                                                  ,Loss of voice (aphonia)                                                                           ,['voice loss']
Apnea                                                                                    ,Apnea                                                                                             ,[]
Appendectomy                                                                             ,Appendectomy                                                                                      ,['appy']
Appendicitis                                                                             ,Appendicitis                                                                                      ,[]
Appendolithiasis                                                                         ,Appendolithiasis                                                                                  ,[]
Arachnoiditis                                                                            ,Arachnoiditis                                                                                     ,[]
Arm pain                                                                                 ,Arm pain                                                                                          ,['upper extremity pain']
Arrhythmia                                                                               ,Arrhythmia                                                                                        ,"['Abnormal heart beat', 'Irregular heart beat', 'cardiac dysrhythmia']"
Arteriosclerosis                                                                         ,Arteriosclerosis                                                                                  ,"['hardening of the arteries', 'vascular sclerosis']"
Arteriovenous fistula                                                                    ,Arteriovenous (AV) fistula                                                                        ,"['arteriovenous fistula', 'fistula arteriovenous']"
Arteriovenous fistula surgery                                                            ,Arteriovenous fistula surgery                                                                     ,[]
Arteriovenous malformation                                                               ,Arteriovenous malformation (AVM)                                                                  ,"['arterio venous malformation', 'malformation arteriovenous']"
Arteriovenous shunt                                                                      ,Arteriovenous shunt                                                                               ,['arterio venous shunt']
Artery surgery                                                                           ,Artery surgery                                                                                    ,[]
Arthralgia                                                                               ,Joint pain (arthralgia)                                                                           ,['Joint Pain']
Arthritis                                                                                ,Arthritis                                                                                         ,[]
Arthritis - gonococcal                                                                   ,Arthritis - gonococcal                                                                            ,['arthritis GC']
Arthritis - psoriatic                                                                    ,Arthritis - psoriatic                                                                             ,['arthritis psoriatic']
Arthritis - septic                                                                       ,Arthritis - septic                                                                                ,"['arthritis septic', 'infectious arthritis']"
Arthrocentesis                                                                           ,Arthrocentesis                                                                                    ,"['JOINT ASPIRATION', 'JOINT TAP']"
Arthroscopy                                                                              ,Arthroscopy                                                                                       ,[]
Asbestosis                                                                               ,Asbestosis                                                                                        ,[]
Ascites                                                                                  ,Ascites                                                                                           ,"['abdominal fluid', 'peritoneal fluid']"
Asperger syndrome                                                                        ,Asperger syndrome                                                                                 ,[]
Aspergillus species                                                                      ,Aspergillus species                                                                               ,[]
Aspermia                                                                                 ,Aspermia                                                                                          ,[]
Asphyxia                                                                                 ,Asphyxia                                                                                          ,[]
Aspiration                                                                               ,Aspiration                                                                                        ,[]
Asplenia                                                                                 ,Spleen - absent (asplenia)                                                                        ,"['absence of spleen', 'asplenia']"
Asthma                                                                                   ,Asthma                                                                                            ,[]
Asthma - mild intermittent                                                               ,Asthma - mild intermittent                                                                        ,['asthma mild intermittent']
Asthma - mild persistent                                                                 ,Asthma - mild persistent                                                                          ,['asthma mild persistent']
Asthma - moderate persistent                                                             ,Asthma - moderate persistent                                                                      ,['asthma moderate persistent']
Asthma - severe persistent                                                               ,Asthma - severe persistent                                                                        ,['asthma severe persistent']
Astigmatism                                                                              ,Astigmatism                                                                                       ,[]
Astrocytoma                                                                              ,Astrocytoma                                                                                       ,"['Brain cancer', 'Brain tumor', 'cystic astrocytoma']"
Asymmetric septal hypertrophy                                                            ,Asymmetric septal hypertrophy                                                                     ,"['ASH', 'asymmetric ventricular hypertrophy']"
Ataxia                                                                                   ,Ataxia                                                                                            ,"['clumsiness', 'dyssynergia', 'staggering']"
Atelectasis                                                                              ,Atelectasis                                                                                       ,['lung collapse']
Atelectasis - subsegmental                                                               ,Atelectasis - subsegmental                                                                        ,"['SS at', 'collapsed subsegmental atlect', 'subseg atelect']"
Atopic dermatitis                                                                        ,Atopic dermatitis                                                                                 ,"['atopic eczema', 'infantile eczema']"
Atransferrinemia                                                                         ,Absence of transferrin                                                                            ,[]
Atrial fibrillation                                                                      ,Atrial fibrillation                                                                               ,[]
Atrial flutter                                                                           ,Atrial flutter                                                                                    ,[]
Atrial myxoma                                                                            ,Atrial myxoma                                                                                     ,['myxoma of atrium']
Atrial septal defect                                                                     ,Atrial septal defect (ASD)                                                                        ,['ASD']
Atrial tachycardia - paroxysmal with av block                                            ,Atrial tachycardia - paroxysmal with av block                                                     ,"['PAT with Block', 'PSVT']"
Atrophic gastritis                                                                       ,Atrophic gastritis                                                                                ,['gastritis atroph']
Atten deficit hyperactivity disorder                                                     ,Attention deficit hyperactivity disorder (ADHD/ADD)                                               ,[]
Augmentation mammoplasty                                                                 ,Breast enlargement                                                                                ,[]
Augmentation of buttock                                                                  ,Buttock augmentation                                                                              ,[]
Autism                                                                                   ,Autism spectrum disorder (ASD)                                                                    ,['Prevasive Developmental Disorder']
